,users,text,favorite_count,retweet_count,created_at
39,VancityReynolds,"Blake and I are thrilled to support @VanFoodBank. So many babies without basic needs being met right now.  If you donate, we’ll match it. And if you need a little help, check out ⬇️⬇️ https://t.co/cQ2Nd8C88s https://t.co/lVTx81F3aW",9277,898,2022-12-21 23:18:56+00:00
40,VancityReynolds,"@Jason__Watkins @RMcElhenney Thank you, Jason!!! ⚔️🏴󠁧󠁢󠁷󠁬󠁳󠁿⚔️",637,8,2022-12-21 22:46:09+00:00
41,VancityReynolds,"Thank you @KwantlenU for letting me share my favorite holiday movies! And for the record I didn’t leave KPU, I’m just taking a gap three-decades. https://t.co/aowAAm5w2v",3685,171,2022-12-21 15:26:12+00:00
42,VancityReynolds,It’s the most wonderful plan of the year. Save more on your wireless with @MintMobile. https://t.co/Clu8QevOkA,6323,301,2022-12-20 20:00:02+00:00
43,VancityReynolds,"Blake and I are thrilled to support @VanFoodBank. So many babies without basic needs being met right now.  If you donate, we’ll match it. If you can’t donate or need assistance, check them out. ⬇️⬇️ https://t.co/lVTx81FB0u",7854,791,2022-12-20 16:42:48+00:00
44,VancityReynolds,"I’m thinking we broker an exchange with @Wrexham_AFC? Also, if you’d like to help @sickkids go to: https://t.co/PCIgjrAOby https://t.co/viKJvKQvYa",3963,223,2022-12-19 00:01:27+00:00
45,VancityReynolds,"My god, #FIFAWorldCup. This game is a gorgeous, evil curse. I love it so much make it stop.",199020,16133,2022-12-18 17:30:26+00:00
46,VancityReynolds,"@MaximumEffort @edmeejorge @JulianGumbo @theadrianmolina Fun fact: Adrian has an Aviation Gin AND a Maximum Effort tattoo. We had to hire him. Not sure what @edmeejorge’s reasoning is. Either way, CONGRATS!!",315,15,2022-12-17 21:15:24+00:00
47,VancityReynolds,The tattoos are temporary. The savings are permanent. https://t.co/s6WUNFQ8Ip,9220,323,2022-12-16 23:55:20+00:00
48,VancityReynolds,@EelBeth @Leviathon_E @mmpadellan @JDCocchiarella Ditto,834,10,2022-12-16 22:19:52+00:00
49,VancityReynolds,@StonedStoney8 Same.,35,0,2022-12-16 22:15:53+00:00
50,VancityReynolds,"Loved chatting with student/journalist, Chief Derek Monias. Thanks for the great interview. Looking forward to the next one. And thanks to @CBC for the assist. https://t.co/mCFwV0YiDb",3499,221,2022-12-16 16:24:24+00:00
51,VancityReynolds,Twitter is 🔥🔥🔥 https://t.co/WY9ckJ49bO,82831,5101,2022-12-16 15:26:08+00:00
52,VancityReynolds,Spirited is now the biggest movie ever on Apple TV+. I’m buying shots at the Genius Bar! https://t.co/BeOOBGHnNy,8273,396,2022-12-15 19:20:07+00:00
53,VancityReynolds,"@KennieBassWCHS @RealHughJackman Oh, he’ll break a leg.",255,11,2022-12-15 17:37:50+00:00
54,VancityReynolds,@brian5or6 Ditto,267,5,2022-12-13 14:08:48+00:00
55,VancityReynolds,Home and away shirts finally back in stock! Apologies for the wait and Happy Holidays! https://t.co/rbB21H6J1L,3761,148,2022-12-13 13:50:20+00:00
56,VancityReynolds,"@JoeSantagato Expressing opinions without thinking is key and, in this case, appreciated!",9799,104,2022-12-11 21:39:55+00:00
57,VancityReynolds,"@larainenewman Thank you, Laraine! ❤️❤️",1243,9,2022-12-11 11:35:49+00:00
58,VancityReynolds,"@SarahO_Connell @RMcElhenney @tozer_ben @Wrexham_AFC @WrexhamFX So happy you attended, Sarah!",44,4,2022-12-11 11:01:18+00:00
59,VancityReynolds,https://t.co/PCIgjrBm16 https://t.co/QXLjC1GykA,3217,237,2022-12-10 13:32:47+00:00
60,VancityReynolds,@theblcklst ❤️❤️❤️,676,13,2022-12-10 11:52:38+00:00
61,VancityReynolds,"@welshy1000 @RMcElhenney I only know how to make an Aviation Gin with a splash of Aviation Gin. 

Thanks for letting us crash, @welshy1000 ❤️🏴󠁧󠁢󠁷󠁬󠁳󠁿",1933,29,2022-12-09 16:40:46+00:00
62,VancityReynolds,Welcome to Wrexham Season 2: Charles in Charge. https://t.co/TrwPkIMCzX,25606,1004,2022-12-09 13:49:28+00:00
63,VancityReynolds,Here we go. ⚔️🏴󠁧󠁢󠁷󠁬󠁳󠁿⚔️ https://t.co/4khgvjMjhV,4486,187,2022-12-08 20:42:10+00:00
64,VancityReynolds,@JillKrop @BCCHF ⬆️⬆️⬆️⬆️❤️,372,6,2022-12-08 15:15:24+00:00
65,VancityReynolds,"And massive thanks to @AM34 who’s not only a legend in the NHL, but a legend in the halls of @sickkids 💙",2474,72,2022-12-08 14:38:06+00:00
66,VancityReynolds,Thank you to the one and only @Sethrogen for the assist!,2783,69,2022-12-08 14:36:45+00:00
67,VancityReynolds,This fashion makes a statement. Help us help @sickkids 💙 https://t.co/gJF0rSsZol,12123,1453,2022-12-08 14:36:44+00:00
68,VancityReynolds,"I can’t think of a more iconic, smart and beautiful person to not impress all that much. Thank you for an amazing night, @ShaniaTwain ❤️ https://t.co/od2KsUoo2s",55215,2543,2022-12-07 15:55:40+00:00
69,VancityReynolds,@geekgirldiva ❤️⚔️❤️,506,6,2022-12-07 15:08:20+00:00
70,VancityReynolds,"And thank you to my friend,@LilRel4 for the outstanding intro. You’re a saint and I’m lucky to have a friend like you. https://t.co/8VdYm6EgB9",6101,198,2022-12-07 13:53:35+00:00
